subject,supertype
catalhoyuk#Dama,catalhoyuk#Cervidae
catalhoyuk#DamaDama,catalhoyuk#Dama
catalhoyuk#Deomyinae,catalhoyuk#Muridae
catalhoyuk#Depression,catalhoyuk#Feature
catalhoyuk#Deuterostomia,catalhoyuk#Bilateria
catalhoyuk#Diapsida,catalhoyuk#Eureptilia
catalhoyuk#DiaryAuthor,catalhoyuk#SocialPerson
catalhoyuk#DiaryEntry,catalhoyuk#Document
catalhoyuk#Dimension,rdf-schema#Resource
catalhoyuk#Dinosauria,catalhoyuk#Ornithodira
catalhoyuk#DistalCarpalBone,catalhoyuk#CarpalBone
catalhoyuk#DistalOfLeftClavicle,catalhoyuk#LeftClavicle
catalhoyuk#DistalOfLeftFemur,catalhoyuk#LeftFemur
catalhoyuk#DistalOfLeftFibula,catalhoyuk#LeftFibula
catalhoyuk#DistalOfLeftHumerus,catalhoyuk#LeftHumerus
catalhoyuk#DistalOfLeftRadius,catalhoyuk#LeftRadius
catalhoyuk#DistalOfLeftTibia,catalhoyuk#LeftTibia
catalhoyuk#DistalOfLeftUlna,catalhoyuk#LeftUlna
catalhoyuk#DistalOfRightClavicle,catalhoyuk#RightClavicle
catalhoyuk#DistalOfRightFemur,catalhoyuk#RightFemur
catalhoyuk#DistalOfRightFibula,catalhoyuk#RightFibula
catalhoyuk#DistalOfRightHumerus,catalhoyuk#RightHumerus
catalhoyuk#DistalOfRightRadius,catalhoyuk#RightRadius
catalhoyuk#DistalOfRightTibia,catalhoyuk#RightTibia
catalhoyuk#DistalOfRightUlna,catalhoyuk#RightUlna
catalhoyuk#DistalPhalanx,catalhoyuk#Phalanx
catalhoyuk#DistalPhalanxOfBigToe,catalhoyuk#PhalanxOfBigToe
catalhoyuk#DistalPhalanxOfFinger,catalhoyuk#PhalanxOfFinger
catalhoyuk#DistalPhalanxOfFourthToe,catalhoyuk#PhalanxOfFourthToe
catalhoyuk#DistalPhalanxOfIndexFinger,catalhoyuk#PhalanxOfIndexFinger
catalhoyuk#DistalPhalanxOfLeftBigToe,catalhoyuk#DistalPhalanxOfBigToe
catalhoyuk#DistalPhalanxOfLeftFinger,catalhoyuk#DistalPhalanxOfFinger
catalhoyuk#DistalPhalanxOfLeftFourthToe,catalhoyuk#DistalPhalanxOfFourthToe
catalhoyuk#DistalPhalanxOfLeftIndexFinger,catalhoyuk#DistalPhalanxOfIndexFinger
catalhoyuk#DistalPhalanxOfLeftLittleFinger,catalhoyuk#DistalPhalanxOfLittleFinger
catalhoyuk#DistalPhalanxOfLeftLittleToe,catalhoyuk#DistalPhalanxOfLittleToe
catalhoyuk#DistalPhalanxOfLeftMiddleFinger,catalhoyuk#DistalPhalanxOfMiddleFinger
catalhoyuk#DistalPhalanxOfLeftRingFinger,catalhoyuk#DistalPhalanxOfRingFinger
catalhoyuk#DistalPhalanxOfLeftSecondToe,catalhoyuk#DistalPhalanxOfSecondToe
catalhoyuk#DistalPhalanxOfLeftThirdToe,catalhoyuk#DistalPhalanxOfThirdToe
catalhoyuk#DistalPhalanxOfLeftThumb,catalhoyuk#DistalPhalanxOfThumb
catalhoyuk#DistalPhalanxOfLesserLeftToe,catalhoyuk#DistalPhalanxOfLesserToe
catalhoyuk#DistalPhalanxOfLesserRightToe,catalhoyuk#DistalPhalanxOfLesserToe
catalhoyuk#DistalPhalanxOfLesserToe,catalhoyuk#DistalPhalanxOfToe
catalhoyuk#DistalPhalanxOfLittleFinger,catalhoyuk#PhalanxOfLittleFinger
catalhoyuk#DistalPhalanxOfLittleToe,catalhoyuk#PhalanxOfLittleToe
catalhoyuk#DistalPhalanxOfMiddleFinger,catalhoyuk#PhalanxOfMiddleFinger
catalhoyuk#DistalPhalanxOfRightBigToe,catalhoyuk#DistalPhalanxOfBigToe
catalhoyuk#DistalPhalanxOfRightFinger,catalhoyuk#DistalPhalanxOfFinger
catalhoyuk#DistalPhalanxOfRightFourthToe,catalhoyuk#DistalPhalanxOfFourthToe
catalhoyuk#DistalPhalanxOfRightIndexFinger,catalhoyuk#DistalPhalanxOfIndexFinger
catalhoyuk#DistalPhalanxOfRightLittleFinger,catalhoyuk#DistalPhalanxOfLittleFinger
catalhoyuk#DistalPhalanxOfRightLittleToe,catalhoyuk#DistalPhalanxOfLittleToe
catalhoyuk#DistalPhalanxOfRightMiddleFinger,catalhoyuk#DistalPhalanxOfMiddleFinger
catalhoyuk#DistalPhalanxOfRightRingFinger,catalhoyuk#DistalPhalanxOfRingFinger
catalhoyuk#DistalPhalanxOfRightSecondToe,catalhoyuk#DistalPhalanxOfSecondToe
catalhoyuk#DistalPhalanxOfRightThirdToe,catalhoyuk#DistalPhalanxOfThirdToe
catalhoyuk#DistalPhalanxOfRightThumb,catalhoyuk#DistalPhalanxOfThumb
catalhoyuk#DistalPhalanxOfRingFinger,catalhoyuk#PhalanxOfRingFinger
catalhoyuk#DistalPhalanxOfSecondToe,catalhoyuk#PhalanxOfSecondToe
catalhoyuk#DistalPhalanxOfThirdToe,catalhoyuk#PhalanxOfThirdToe
catalhoyuk#DistalPhalanxOfThumb,catalhoyuk#PhalanxOfThumb
catalhoyuk#DistalPhalanxOfToe,catalhoyuk#PhalanxOfToe
catalhoyuk#Document,catalhoyuk#Documentation
catalhoyuk#Documentation,rdf-schema#Resource
catalhoyuk#Doorway,catalhoyuk#AccessHole
catalhoyuk#DoorwayNiche,catalhoyuk#Feature
catalhoyuk#Drawing,catalhoyuk#Image
catalhoyuk#Dryomys,catalhoyuk#Leithiinae
catalhoyuk#DryomysLaniger,catalhoyuk#Dryomys
catalhoyuk#DryomysNitedula,catalhoyuk#Dryomys
catalhoyuk#EighthRib,catalhoyuk#FalseRib
catalhoyuk#EighthThoracicVertebra,catalhoyuk#ThoracicVertebra
catalhoyuk#Elaphe,catalhoyuk#Colubridae
catalhoyuk#EleventhRib,catalhoyuk#FloatingRib
catalhoyuk#EleventhThoracicVertebra,catalhoyuk#ThoracicVertebra
catalhoyuk#Eliomys,catalhoyuk#Leithiinae
catalhoyuk#EliomysMelanurus,catalhoyuk#Eliomys
catalhoyuk#Emydidae,catalhoyuk#Cryptodira
catalhoyuk#Emys,catalhoyuk#Emydidae
catalhoyuk#EndOfInterval,catalhoyuk#PointInTime
catalhoyuk#EngagedPostPillar,catalhoyuk#Post
catalhoyuk#EntryBench,catalhoyuk#Bench
catalhoyuk#EpiptericBone,catalhoyuk#SuturalBone
catalhoyuk#Equidae,catalhoyuk#Hippomorpha
catalhoyuk#Equus,catalhoyuk#Equidae
catalhoyuk#EquusAsinus,catalhoyuk#Equus
catalhoyuk#EquusCaballus,catalhoyuk#Equus
catalhoyuk#EquusHemionus,catalhoyuk#Equus
catalhoyuk#Erinaceidae,catalhoyuk#Lipotyphla
catalhoyuk#Erinaceus,catalhoyuk#Erinaceidae
catalhoyuk#ErinaceusEuropaeus,catalhoyuk#Erinaceus
catalhoyuk#Esocidae,catalhoyuk#Esociformes
